Precinct TEVS,Ballot Page,ballot Side,Ballot Batches,Contest TEVS,Choice TEVS,TEVS Voteops Marked,TEVS Total Voteops,TEVS Voteops not Marked,TEVS Over Votes,Precinct HART,Contest HART,Choice HART,HART Count,HART Ballots,Votes Counted TEVS Minus HART,Total Voteops TEVS Minus HART,ABS Votes Counted TEVS Minus HART,ABS Total Voteops TEVS Minus HART,Margin,Error Pct,Sort Key
000001,1,1,000 042 056 149 150 223 232 243,PRES,JILL_STEIN,30,632,602,0,~  1CS-1,PRESIDENT AND VICE PRES,JILL STEIN      and A,30,630,0,2,0,2,14827,   0.00%,1CS-1.PRESIDENT AND VICE PRESIDENT.JILL STEIN      and AJAMU BARAKA
000001,1,1,000 042 056 149 150 223 232 243,PRES,Write_in,27,632,605,0,~  1CS-1,PRESIDENT AND VICE PRES,Write_in,27,630,0,2,0,2,14827,   0.00%,1CS-1.PRESIDENT AND VICE PRESIDENT.Write_in
000001,1,1,000 042 056 149 150 223 232 243,PROP_51,NO,312,632,320,2,~  1CS-1,PROPOSITION 51 SCHOOL B,NO,313,630,-1,2,1,2,650,   0.15%,1CS-1.PROPOSITION 51 SCHOOL BONDS. FUNDING FOR K-12 SCHOOL AND COMMUNITY COLLEGE FACILITIES. INITIATIVE.NO
000001,1,1,000 042 056 149 150 223 232 243,PROP_51,YES,279,632,353,2,~  1CS-1,PROPOSITION 51 SCHOOL B,YES,279,630,0,2,0,2,650,   0.00%,1CS-1.PROPOSITION 51 SCHOOL BONDS. FUNDING FOR K-12 SCHOOL AND COMMUNITY COLLEGE FACILITIES. INITIATIVE.YES
000001,1,1,000 042 056 149 150 223 232 243,PROP_52,NO,209,632,423,0,~  1CS-1,PROPOSITION 52 MEDI-CAL,NO,209,630,0,2,0,2,21622,   0.00%,1CS-1.PROPOSITION 52 MEDI-CAL HOSPITAL FEE PROGRAM. INITIATIVE CONSTITUTIONAL AMENDMENT AND STATUTE..NO
000001,1,1,000 042 056 149 150 223 232 243,PROP_52,YES,380,632,252,0,~  1CS-1,PROPOSITION 52 MEDI-CAL,YES,380,630,0,2,0,2,21622,   0.00%,1CS-1.PROPOSITION 52 MEDI-CAL HOSPITAL FEE PROGRAM. INITIATIVE CONSTITUTIONAL AMENDMENT AND STATUTE..YES
000001,1,1,000 042 056 149 150 223 232 243,PROP_53,NO,312,632,320,3,~  1CS-1,PROPOSITION 53 REVENUE ,NO,312,630,0,2,0,2,3571,   0.00%,1CS-1.PROPOSITION 53 REVENUE BONDS. STATEWIDE VOTER APPROVAL. INITIATIVE CONSTITUTIONAL AMENDMENT..NO
000001,1,1,000 042 056 149 150 223 232 243,PROP_53,YES,261,632,371,3,~  1CS-1,PROPOSITION 53 REVENUE ,YES,262,630,-1,2,1,2,3571,   0.03%,1CS-1.PROPOSITION 53 REVENUE BONDS. STATEWIDE VOTER APPROVAL. INITIATIVE CONSTITUTIONAL AMENDMENT..YES
000001,1,1,000 042 056 149 150 223 232 243,PROP_54,NO,255,632,377,1,~  1CS-1,PROPOSITION 54 LEGISLAT,NO,255,630,0,2,0,2,13854,   0.00%,1CS-1.PROPOSITION 54 LEGISLATURE. LEGISLATION AND PROCEEDINGS. INITIATIVE CONSTITUTIONAL AMENDMENT AND.NO
000001,1,1,000 042 056 149 150 223 232 243,PROP_54,YES,318,632,314,1,~  1CS-1,PROPOSITION 54 LEGISLAT,YES,318,630,0,2,0,2,13854,   0.00%,1CS-1.PROPOSITION 54 LEGISLATURE. LEGISLATION AND PROCEEDINGS. INITIATIVE CONSTITUTIONAL AMENDMENT AND.YES
000001,1,2,000 042 056 149 150 196 223 232 243,PROP_55,NO,210,633,423,1,~  1CS-1,PROPOSITION 55 TAX EXTE,NO,210,630,0,3,0,3,21661,   0.00%,1CS-1.PROPOSITION 55 TAX EXTENSION TO FUND EDUCATION AND HEALTHCARE. INITIATIVE CONSTITUTIONAL AMENDMENT..NO
000001,1,2,000 042 056 149 150 196 223 232 243,PROP_55,YES,382,633,251,1,~  1CS-1,PROPOSITION 55 TAX EXTE,YES,381,630,1,3,1,3,21661,   0.00%,1CS-1.PROPOSITION 55 TAX EXTENSION TO FUND EDUCATION AND HEALTHCARE. INITIATIVE CONSTITUTIONAL AMENDMENT..YES
000001,1,2,000 042 056 149 150 196 223 232 243,PROP_56,NO,250,633,383,0,~  1CS-1,PROPOSITION 56 CIGARETT,NO,249,630,1,3,1,3,11223,   0.01%,"1CS-1.PROPOSITION 56 CIGARETTE TAX TO FUND HEALTHCARE, TOBACCO USE PREVENTION, RESEARCH, AND.NO"
000001,1,2,000 042 056 149 150 196 223 232 243,PROP_56,YES,356,633,277,0,~  1CS-1,PROPOSITION 56 CIGARETT,YES,354,630,2,3,2,3,11223,   0.02%,"1CS-1.PROPOSITION 56 CIGARETTE TAX TO FUND HEALTHCARE, TOBACCO USE PREVENTION, RESEARCH, AND.YES"
000001,1,2,000 042 056 149 150 196 223 232 243,PROP_57,NO,207,633,426,1,~  1CS-1,PROPOSITION 57 CRIMINAL,NO,205,630,2,3,2,3,20308,   0.01%,1CS-1.PROPOSITION 57 CRIMINAL SENTENCES. PAROLE. JUVENILE CRIMINAL PROCEEDINGS AND SENTENCING. INITIATIVE.NO
000001,1,2,000 042 056 149 150 196 223 232 243,PROP_57,YES,382,633,251,1,~  1CS-1,PROPOSITION 57 CRIMINAL,YES,383,630,-1,3,1,3,20308,   0.00%,1CS-1.PROPOSITION 57 CRIMINAL SENTENCES. PAROLE. JUVENILE CRIMINAL PROCEEDINGS AND SENTENCING. INITIATIVE.YES
000001,1,2,000 042 056 149 150 196 223 232 243,PROP_58,NO,139,633,494,2,~  1CS-1,PROPOSITION 58 ENGLISH ,NO,139,630,0,3,0,3,31714,   0.00%,1CS-1.PROPOSITION 58 ENGLISH PROFICIENCY. MULTILINGUAL EDUCATION. INITIATIVE STATUTE..NO
000001,1,2,000 042 056 149 150 196 223 232 243,PROP_58,YES,444,633,189,2,~  1CS-1,PROPOSITION 58 ENGLISH ,YES,441,630,3,3,3,3,31714,   0.01%,1CS-1.PROPOSITION 58 ENGLISH PROFICIENCY. MULTILINGUAL EDUCATION. INITIATIVE STATUTE..YES
000001,1,2,000 042 056 149 150 196 223 232 243,PROP_59,NO,243,633,390,1,~  1CS-1,PROPOSITION 59 CORPORAT,NO,242,630,1,3,1,3,12291,   0.01%,1CS-1.PROPOSITION 59 CORPORATIONS. POLITICAL SPENDING. FEDERAL CONSTITUTIONAL PROTECTIONS..NO
000001,1,2,000 042 056 149 150 196 223 232 243,PROP_59,YES,310,633,323,1,~  1CS-1,PROPOSITION 59 CORPORAT,YES,309,630,1,3,1,3,12291,   0.01%,1CS-1.PROPOSITION 59 CORPORATIONS. POLITICAL SPENDING. FEDERAL CONSTITUTIONAL PROTECTIONS..YES
000001,1,2,000 042 056 149 150 196 223 232 243,PROP_60,NO,363,633,270,2,~  1CS-1,PROPOSITION 60 ADULT FI,NO,363,630,0,3,0,3,12900,   0.00%,1CS-1.PROPOSITION 60 ADULT FILMS. CONDOMS. HEALTH REQUIREMENTS. INITIATIVE STATUTE..NO
000001,1,2,000 042 056 149 150 196 223 232 243,PROP_60,YES,209,633,424,2,~  1CS-1,PROPOSITION 60 ADULT FI,YES,209,630,0,3,0,3,12900,   0.00%,1CS-1.PROPOSITION 60 ADULT FILMS. CONDOMS. HEALTH REQUIREMENTS. INITIATIVE STATUTE..YES
000001,1,2,000 042 056 149 150 196 223 232 243,PROP_61,NO,273,633,360,1,~  1CS-1,PROPOSITION 61 STATE PR,NO,273,630,0,3,0,3,5820,   0.00%,1CS-1.PROPOSITION 61 STATE PRESCRIPTION DRUG PURCHASES. PRICING STANDARDS. INITIATIVE STATUTE..NO
000001,1,2,000 042 056 149 150 196 223 232 243,PROP_61,YES,292,633,341,1,~  1CS-1,PROPOSITION 61 STATE PR,YES,291,630,1,3,1,3,5820,   0.02%,1CS-1.PROPOSITION 61 STATE PRESCRIPTION DRUG PURCHASES. PRICING STANDARDS. INITIATIVE STATUTE..YES
000001,1,2,000 042 056 149 150 196 223 232 243,PROP_62,NO,325,633,308,2,~  1CS-1,PROPOSITION 62 DEATH PE,NO,325,630,0,3,0,3,1617,   0.00%,1CS-1.PROPOSITION 62 DEATH PENALTY. INITIATIVE STATUTE..NO
000001,1,2,000 042 056 149 150 196 223 232 243,PROP_62,YES,261,633,372,2,~  1CS-1,PROPOSITION 62 DEATH PE,YES,259,630,2,3,2,3,1617,   0.12%,1CS-1.PROPOSITION 62 DEATH PENALTY. INITIATIVE STATUTE..YES
000001,1,2,000 042 056 149 150 223 232 243,PROP_63,NO,278,632,354,3,~  1CS-1,PROPOSITION 63 FIREARMS,NO,280,630,-2,2,2,2,2518,   0.08%,1CS-1.PROPOSITION 63 FIREARMS. AMMUNITION SALES. INITIATIVE STATUTE..NO
000001,1,2,000 042 056 149 150 223 232 243,PROP_63,YES,316,632,316,3,~  1CS-1,PROPOSITION 63 FIREARMS,YES,314,630,2,2,2,2,2518,   0.08%,1CS-1.PROPOSITION 63 FIREARMS. AMMUNITION SALES. INITIATIVE STATUTE..YES
000001,2,3,000 042 056 057 150 223 232 243,PROP_64,NO,253,632,379,3,~  1CS-1,PROPOSITION 64 MARIJUAN,NO,253,630,0,2,0,2,10026,   0.00%,1CS-1.PROPOSITION 64 MARIJUANA LEGALIZATION. INITIATIVE STATUTE..NO
000001,2,3,000 042 056 057 150 223 232 243,PROP_64,YES,353,632,279,3,~  1CS-1,PROPOSITION 64 MARIJUAN,YES,354,630,-1,2,1,2,10026,   0.01%,1CS-1.PROPOSITION 64 MARIJUANA LEGALIZATION. INITIATIVE STATUTE..YES
000001,2,3,000 042 056 057 150 223 232 243,PROP_65,NO,358,632,274,1,~  1CS-1,PROPOSITION 65 CARRYOUT,NO,360,630,-2,2,2,2,9950,   0.02%,1CS-1.PROPOSITION 65 CARRYOUT BAGS. CHARGES. INITIATIVE STATUTE..NO
000001,2,3,000 042 056 057 150 223 232 243,PROP_65,YES,235,632,397,1,~  1CS-1,PROPOSITION 65 CARRYOUT,YES,235,630,0,2,0,2,9950,   0.00%,1CS-1.PROPOSITION 65 CARRYOUT BAGS. CHARGES. INITIATIVE STATUTE..YES
000001,2,3,000 042 056 057 150 223 232 243,PROP_66,NO,316,632,316,2,~  1CS-1,PROPOSITION 66 DEATH PE,NO,316,630,0,2,0,2,9324,   0.00%,1CS-1.PROPOSITION 66 DEATH PENALTY. PROCEDURES. INITIATIVE STATUTE..NO
000001,2,3,000 042 056 057 150 223 232 243,PROP_66,YES,257,632,375,2,~  1CS-1,PROPOSITION 66 DEATH PE,YES,258,630,-1,2,1,2,9324,   0.01%,1CS-1.PROPOSITION 66 DEATH PENALTY. PROCEDURES. INITIATIVE STATUTE..YES
000001,2,3,000 042 056 057 150 223 232 243,PROP_67,NO,255,632,377,1,~  1CS-1,PROPOSITION 67 BAN ON S,NO,255,630,0,2,0,2,12420,   0.00%,1CS-1.PROPOSITION 67 BAN ON SINGLE-USE PLASTIC BAGS. REFERENDUM..NO
000001,2,3,000 042 056 057 150 223 232 243,PROP_67,YES,345,632,287,1,~  1CS-1,PROPOSITION 67 BAN ON S,YES,346,630,-1,2,1,2,12420,   0.01%,1CS-1.PROPOSITION 67 BAN ON SINGLE-USE PLASTIC BAGS. REFERENDUM..YES
000001,1,1,000 042 056 149 150 223 232 243,STATEASS2,JIM_WOOD,353,632,279,1,~  1CS-1,"STATE ASSEMBLY, DISTRIC",JIM WOOD,352,630,1,2,1,2,21698,   0.00%,"1CS-1.STATE ASSEMBLY, DISTRICT 2.JIM WOOD"
000001,1,1,000 042 056 149 150 223 232 243,STATEASS2,KEN_ANTON,181,632,451,1,~  1CS-1,"STATE ASSEMBLY, DISTRIC",KEN ANTON,182,630,-1,2,1,2,21698,   0.00%,"1CS-1.STATE ASSEMBLY, DISTRICT 2.KEN ANTON"
000001,1,1,000 042 056 149 150 223 232 243,USREP,DALE_K_MENSING,185,632,447,0,~  1CS-1,US REPRESENTATIVE IN CO,DALE K. MENSING,185,630,0,2,0,2,24838,   0.00%,"1CS-1.US REPRESENTATIVE IN CONGRESS, DISTRICT 2.DALE K. MENSING"
000001,1,1,000 042 056 149 150 223 232 243,USREP,JARED_W_HUFFMAN,404,632,228,0,~  1CS-1,US REPRESENTATIVE IN CO,JARED W. HUFFMAN,402,630,2,2,2,2,24838,   0.01%,"1CS-1.US REPRESENTATIVE IN CONGRESS, DISTRICT 2.JARED W. HUFFMAN"
000001,1,1,000 042 056 149 150 223 232 243,USSEN,KAMALA_D_HARRIS,323,632,309,3,~  1CS-1,US SENATOR,KAMALA D. HARRIS,323,630,0,2,0,2,16452,   0.00%,1CS-1.US SENATOR.KAMALA D. HARRIS
000001,1,1,000 042 056 149 150 223 232 243,USSEN,LORETTA_L_SANCHEZ,161,632,471,3,~  1CS-1,US SENATOR,LORETTA L. SANCHEZ,161,630,0,2,0,2,16452,   0.00%,1CS-1.US SENATOR.LORETTA L. SANCHEZ
000002,2,3,000 041 042 057 058 149 223 232 243,MEAS_Q,NO,320,661,341,0,~  1CS-2,MEASURE Q HUMBOLDT COUN,NO,320,661,0,0,0,0,3886,   0.00%,1CS-2.MEASURE Q HUMBOLDT COUNTY CREATION OF FINANCE DEPARTMENT MEASURE..NO
000002,2,3,000 041 042 057 058 149 223 232 243,MEAS_Q,YES,258,661,403,0,~  1CS-2,MEASURE Q HUMBOLDT COUN,YES,258,661,0,0,0,0,3886,   0.00%,1CS-2.MEASURE Q HUMBOLDT COUNTY CREATION OF FINANCE DEPARTMENT MEASURE..YES
000002,2,3,000 041 042 057 058 149 223 232 243,MEAS_R,NO,329,661,332,1,~  1CS-2,MEASURE R HUMBOLDT COUN,NO,329,661,0,0,0,0,1729,   0.00%,1CS-2.MEASURE R HUMBOLDT COUNTY FINANCE DEPARTMENT ELECTIVE OFFICE MEASURE..NO
000002,2,3,000 041 042 057 058 149 223 232 243,MEAS_R,YES,250,661,411,1,~  1CS-2,MEASURE R HUMBOLDT COUN,YES,251,661,-1,0,1,0,1729,   0.06%,1CS-2.MEASURE R HUMBOLDT COUNTY FINANCE DEPARTMENT ELECTIVE OFFICE MEASURE..YES
000002,2,3,000 041 042 057 058 149 223 232 243,MEAS_S,NO,175,661,486,0,~  1CS-2,MEASURE S HUMBOLDT COUN,NO,175,661,0,0,0,0,18018,   0.00%,1CS-2.MEASURE S HUMBOLDT COUNTY COMMERCIAL MARIJUANA CULTIVATION MEASURE..NO
000002,2,3,000 041 042 057 058 149 223 232 243,MEAS_S,YES,442,661,219,0,~  1CS-2,MEASURE S HUMBOLDT COUN,YES,442,661,0,0,0,0,18018,   0.00%,1CS-2.MEASURE S HUMBOLDT COUNTY COMMERCIAL MARIJUANA CULTIVATION MEASURE..YES
000002,2,3,000 041 042 057 058 149 223 232 243,MEAS_U,NO,346,661,315,0,~  1CS-2,MEASURE U LOCAL TRANSPO,NO,346,661,0,0,0,0,1298,   0.00%,1CS-2.MEASURE U LOCAL TRANSPORTATION AUTHORITY RETAIL TRANSACTIONS AND USE TAX..NO
000002,2,3,000 041 042 057 058 149 223 232 243,MEAS_U,YES,258,661,403,0,~  1CS-2,MEASURE U LOCAL TRANSPO,YES,257,661,1,0,1,0,1298,   0.08%,1CS-2.MEASURE U LOCAL TRANSPORTATION AUTHORITY RETAIL TRANSACTIONS AND USE TAX..YES
000002,2,3,000 041 042 057 058 149 223 232 243,MEAS_V,NO,312,661,349,0,~  1CS-2,MEASURE V MOBILE HOME P,NO,312,661,0,0,0,0,5114,   0.00%,1CS-2.MEASURE V MOBILE HOME PARK SPACE RENT STABILIZATION..NO
000002,2,3,000 041 042 057 058 149 223 232 243,MEAS_V,YES,300,661,361,0,~  1CS-2,MEASURE V MOBILE HOME P,YES,300,661,0,0,0,0,5114,   0.00%,1CS-2.MEASURE V MOBILE HOME PARK SPACE RENT STABILIZATION..YES
000002,1,1,000 041 042 057 149 223 232 243,PRES,DONALD_J_TRUMP,265,661,396,0,~  1CS-2,PRESIDENT AND VICE PRES,DONALD J. TRUMP      ,265,661,0,0,0,0,14827,   0.00%,1CS-2.PRESIDENT AND VICE PRESIDENT.DONALD J. TRUMP      and MICHAEL R. PENCE
000002,1,1,000 041 042 057 149 223 232 243,PRES,GARY_JOHNSON,22,661,639,1,~  1CS-2,PRESIDENT AND VICE PRES,GARY JOHNSON      and,22,661,0,0,0,0,14827,   0.00%,1CS-2.PRESIDENT AND VICE PRESIDENT.GARY JOHNSON      and BILL WELD
000002,1,1,000 041 042 057 149 223 232 243,PRES,GLORIA_ESTELA_LA_RIVA,4,661,657,0,~  1CS-2,PRESIDENT AND VICE PRES,GLORIA ESTELA LA RIVA,4,661,0,0,0,0,14827,   0.00%,1CS-2.PRESIDENT AND VICE PRESIDENT.GLORIA ESTELA LA RIVA      and DENNIS J. BANKS
000002,1,1,000 041 042 057 149 223 232 243,PRES,HILLARY_CLINTON,318,661,343,0,~  1CS-2,PRESIDENT AND VICE PRES,HILLARY CLINTON      ,318,661,0,0,0,0,14827,   0.00%,1CS-2.PRESIDENT AND VICE PRESIDENT.HILLARY CLINTON      and TIM KAINE
000002,1,1,000 041 042 057 149 223 232 243,PRES,JILL_STEIN,15,661,646,0,~  1CS-2,PRESIDENT AND VICE PRES,JILL STEIN      and A,15,661,0,0,0,0,14827,   0.00%,1CS-2.PRESIDENT AND VICE PRESIDENT.JILL STEIN      and AJAMU BARAKA
000002,1,1,000 041 042 057 149 223 232 243,PRES,Write_in,22,661,639,0,~  1CS-2,PRESIDENT AND VICE PRES,Write_in,22,661,0,0,0,0,14827,   0.00%,1CS-2.PRESIDENT AND VICE PRESIDENT.Write_in
000002,1,1,000 041 042 057 149 223 232 243,PROP_51,NO,360,661,301,0,~  1CS-2,PROPOSITION 51 SCHOOL B,NO,360,661,0,0,0,0,650,   0.00%,1CS-2.PROPOSITION 51 SCHOOL BONDS. FUNDING FOR K-12 SCHOOL AND COMMUNITY COLLEGE FACILITIES. INITIATIVE.NO
000002,1,1,000 041 042 057 149 223 232 243,PROP_51,YES,279,661,382,0,~  1CS-2,PROPOSITION 51 SCHOOL B,YES,279,661,0,0,0,0,650,   0.00%,1CS-2.PROPOSITION 51 SCHOOL BONDS. FUNDING FOR K-12 SCHOOL AND COMMUNITY COLLEGE FACILITIES. INITIATIVE.YES
000002,1,1,000 041 042 057 149 223 232 243,PROP_52,NO,224,661,437,1,~  1CS-2,PROPOSITION 52 MEDI-CAL,NO,224,661,0,0,0,0,21622,   0.00%,1CS-2.PROPOSITION 52 MEDI-CAL HOSPITAL FEE PROGRAM. INITIATIVE CONSTITUTIONAL AMENDMENT AND STATUTE..NO
000002,1,1,000 041 042 057 149 223 232 243,PROP_52,YES,405,661,256,1,~  1CS-2,PROPOSITION 52 MEDI-CAL,YES,406,661,-1,0,1,0,21622,   0.00%,1CS-2.PROPOSITION 52 MEDI-CAL HOSPITAL FEE PROGRAM. INITIATIVE CONSTITUTIONAL AMENDMENT AND STATUTE..YES
000002,1,1,000 041 042 057 149 223 232 243,PROP_53,NO,344,661,317,0,~  1CS-2,PROPOSITION 53 REVENUE ,NO,344,661,0,0,0,0,3571,   0.00%,1CS-2.PROPOSITION 53 REVENUE BONDS. STATEWIDE VOTER APPROVAL. INITIATIVE CONSTITUTIONAL AMENDMENT..NO
000002,1,1,000 041 042 057 149 223 232 243,PROP_53,YES,274,661,387,0,~  1CS-2,PROPOSITION 53 REVENUE ,YES,274,661,0,0,0,0,3571,   0.00%,1CS-2.PROPOSITION 53 REVENUE BONDS. STATEWIDE VOTER APPROVAL. INITIATIVE CONSTITUTIONAL AMENDMENT..YES
000002,1,1,000 041 042 057 149 223 232 243,PROP_54,NO,255,661,406,2,~  1CS-2,PROPOSITION 54 LEGISLAT,NO,255,661,0,0,0,0,13854,   0.00%,1CS-2.PROPOSITION 54 LEGISLATURE. LEGISLATION AND PROCEEDINGS. INITIATIVE CONSTITUTIONAL AMENDMENT AND.NO
000002,1,1,000 041 042 057 149 223 232 243,PROP_54,YES,355,661,306,2,~  1CS-2,PROPOSITION 54 LEGISLAT,YES,357,661,-2,0,2,0,13854,   0.01%,1CS-2.PROPOSITION 54 LEGISLATURE. LEGISLATION AND PROCEEDINGS. INITIATIVE CONSTITUTIONAL AMENDMENT AND.YES
000002,1,1,000 041 042 057 149 223 232 243,PROP_55,NO,273,661,388,3,~  1CS-2,PROPOSITION 55 TAX EXTE,NO,273,661,0,0,0,0,21661,   0.00%,1CS-2.PROPOSITION 55 TAX EXTENSION TO FUND EDUCATION AND HEALTHCARE. INITIATIVE CONSTITUTIONAL AMENDMENT..NO
000002,1,1,000 041 042 057 149 223 232 243,PROP_55,YES,358,661,303,3,~  1CS-2,PROPOSITION 55 TAX EXTE,YES,359,661,-1,0,1,0,21661,   0.00%,1CS-2.PROPOSITION 55 TAX EXTENSION TO FUND EDUCATION AND HEALTHCARE. INITIATIVE CONSTITUTIONAL AMENDMENT..YES
000002,1,2,000 041 042 057 149 223 232,PROP_56,NO,287,644,357,1,~  1CS-2,PROPOSITION 56 CIGARETT,NO,294,661,-7,-17,7,17,11223,   0.06%,"1CS-2.PROPOSITION 56 CIGARETTE TAX TO FUND HEALTHCARE, TOBACCO USE PREVENTION, RESEARCH, AND.NO"
000002,1,2,000 041 042 057 149 223 232,PROP_56,YES,334,644,310,1,~  1CS-2,PROPOSITION 56 CIGARETT,YES,345,661,-11,-17,11,17,11223,   0.10%,"1CS-2.PROPOSITION 56 CIGARETTE TAX TO FUND HEALTHCARE, TOBACCO USE PREVENTION, RESEARCH, AND.YES"
000002,1,2,000 041 042 057 149 223 232,PROP_57,NO,260,644,384,0,~  1CS-2,PROPOSITION 57 CRIMINAL,NO,268,661,-8,-17,8,17,20308,   0.04%,1CS-2.PROPOSITION 57 CRIMINAL SENTENCES. PAROLE. JUVENILE CRIMINAL PROCEEDINGS AND SENTENCING. INITIATIVE.NO
000002,1,2,000 041 042 057 149 223 232,PROP_57,YES,351,644,293,0,~  1CS-2,PROPOSITION 57 CRIMINAL,YES,360,661,-9,-17,9,17,20308,   0.04%,1CS-2.PROPOSITION 57 CRIMINAL SENTENCES. PAROLE. JUVENILE CRIMINAL PROCEEDINGS AND SENTENCING. INITIATIVE.YES
000002,1,2,000 041 042 057 149 223 232,PROP_58,NO,169,644,475,1,~  1CS-2,PROPOSITION 58 ENGLISH ,NO,174,661,-5,-17,5,17,31714,   0.02%,1CS-2.PROPOSITION 58 ENGLISH PROFICIENCY. MULTILINGUAL EDUCATION. INITIATIVE STATUTE..NO
000002,1,2,000 041 042 057 149 223 232,PROP_58,YES,438,644,206,1,~  1CS-2,PROPOSITION 58 ENGLISH ,YES,450,661,-12,-17,12,17,31714,   0.04%,1CS-2.PROPOSITION 58 ENGLISH PROFICIENCY. MULTILINGUAL EDUCATION. INITIATIVE STATUTE..YES
000002,1,2,000 041 042 057 149 223 232,PROP_59,NO,300,644,344,3,~  1CS-2,PROPOSITION 59 CORPORAT,NO,308,661,-8,-17,8,17,12291,   0.07%,1CS-2.PROPOSITION 59 CORPORATIONS. POLITICAL SPENDING. FEDERAL CONSTITUTIONAL PROTECTIONS..NO
