Precinct TEVS,Ballot Page,ballot Side,Contest TEVS,Choice TEVS,TEVS Voteops Marked,TEVS Total Voteops,TEVS Voteops not Marked,TEVS Over Votes,Precinct HART,Contest HART,Choice HART,HART Count,HART Ballots,Votes Counted TEVS Minus HART,Total Voteops TEVS Minus HART,ABS Votes Counted TEVS Minus HART,ABS Total Voteops TEVS Minus HART,Margin,Error Pct,Sort Key
000002,2,3,MEAS_Q,YES,258,661,403,0,~  1CS-2,MEASURE Q HUMBOLDT COUN,YES,258,661,0,0,0,0,62,   0.00%,1CS-2.MEASURE Q HUMBOLDT COUNTY CREATION OF FINANCE DEPARTMENT MEASURE..YES
000002,2,3,MEAS_R,NO,330,661,331,1,~  1CS-2,MEASURE R HUMBOLDT COUN,NO,329,661,1,0,1,0,78,   1.28%,1CS-2.MEASURE R HUMBOLDT COUNTY FINANCE DEPARTMENT ELECTIVE OFFICE MEASURE..NO
000002,2,3,MEAS_R,YES,251,661,410,1,~  1CS-2,MEASURE R HUMBOLDT COUN,YES,251,661,0,0,0,0,78,   0.00%,1CS-2.MEASURE R HUMBOLDT COUNTY FINANCE DEPARTMENT ELECTIVE OFFICE MEASURE..YES
000002,2,3,MEAS_S,NO,175,661,486,0,~  1CS-2,MEASURE S HUMBOLDT COUN,NO,175,661,0,0,0,0,267,   0.00%,1CS-2.MEASURE S HUMBOLDT COUNTY COMMERCIAL MARIJUANA CULTIVATION MEASURE..NO
000002,2,3,MEAS_S,YES,442,661,219,0,~  1CS-2,MEASURE S HUMBOLDT COUN,YES,442,661,0,0,0,0,267,   0.00%,1CS-2.MEASURE S HUMBOLDT COUNTY COMMERCIAL MARIJUANA CULTIVATION MEASURE..YES
000002,2,3,MEAS_U,NO,346,661,315,0,~  1CS-2,MEASURE U LOCAL TRANSPO,NO,346,661,0,0,0,0,89,   0.00%,1CS-2.MEASURE U LOCAL TRANSPORTATION AUTHORITY RETAIL TRANSACTIONS AND USE TAX..NO
000002,2,3,MEAS_U,YES,258,661,403,0,~  1CS-2,MEASURE U LOCAL TRANSPO,YES,257,661,1,0,1,0,89,   1.12%,1CS-2.MEASURE U LOCAL TRANSPORTATION AUTHORITY RETAIL TRANSACTIONS AND USE TAX..YES
000002,2,3,MEAS_V,NO,312,661,349,0,~  1CS-2,MEASURE V MOBILE HOME P,NO,312,661,0,0,0,0,12,   0.00%,1CS-2.MEASURE V MOBILE HOME PARK SPACE RENT STABILIZATION..NO
000002,2,3,MEAS_V,YES,300,661,361,0,~  1CS-2,MEASURE V MOBILE HOME P,YES,300,661,0,0,0,0,12,   0.00%,1CS-2.MEASURE V MOBILE HOME PARK SPACE RENT STABILIZATION..YES
000002,1,1,PRES,DONALD_J_TRUMP,265,661,396,0,~  1CS-2,PRESIDENT AND VICE PRES,DONALD J. TRUMP      ,265,661,0,0,0,0,53,   0.00%,1CS-2.PRESIDENT AND VICE PRESIDENT.DONALD J. TRUMP      and MICHAEL R. PENCE
000002,1,1,PRES,GARY_JOHNSON,23,661,638,1,~  1CS-2,PRESIDENT AND VICE PRES,GARY JOHNSON      and,22,661,1,0,1,0,53,   1.89%,1CS-2.PRESIDENT AND VICE PRESIDENT.GARY JOHNSON      and BILL WELD
000002,1,1,PRES,GLORIAYESTELA_LA_RIVA,4,661,657,0,~  1CS-2,PRESIDENT AND VICE PRES,GLORIA ESTELA LA RIVA,4,661,0,0,0,0,53,   0.00%,1CS-2.PRESIDENT AND VICE PRESIDENT.GLORIA ESTELA LA RIVA      and DENNIS J. BANKS
000002,1,1,PRES,HILLARY_CLINTON,318,661,343,0,~  1CS-2,PRESIDENT AND VICE PRES,HILLARY CLINTON      ,318,661,0,0,0,0,53,   0.00%,1CS-2.PRESIDENT AND VICE PRESIDENT.HILLARY CLINTON      and TIM KAINE
000002,1,1,PRES,JILL_STEIN,15,661,646,0,~  1CS-2,PRESIDENT AND VICE PRES,JILL STEIN      and A,15,661,0,0,0,0,53,   0.00%,1CS-2.PRESIDENT AND VICE PRESIDENT.JILL STEIN      and AJAMU BARAKA
000002,1,1,PRES,Write_in,22,661,639,0,~  1CS-2,PRESIDENT AND VICE PRES,Write_in,22,661,0,0,0,0,53,   0.00%,1CS-2.PRESIDENT AND VICE PRESIDENT.Write_in
000002,1,1,PROP_51,NO,360,661,301,0,~  1CS-2,PROPOSITION 51 SCHOOL B,NO,360,661,0,0,0,0,81,   0.00%,1CS-2.PROPOSITION 51 SCHOOL BONDS. FUNDING FOR K-12 SCHOOL AND COMMUNITY COLLEGE FACILITIES. INITIATIVE.NO
000002,1,1,PROP_51,YES,279,661,382,0,~  1CS-2,PROPOSITION 51 SCHOOL B,YES,279,661,0,0,0,0,81,   0.00%,1CS-2.PROPOSITION 51 SCHOOL BONDS. FUNDING FOR K-12 SCHOOL AND COMMUNITY COLLEGE FACILITIES. INITIATIVE.YES
000002,1,1,PROP_52,NO,225,661,436,1,~  1CS-2,PROPOSITION 52 MEDI-CAL,NO,224,661,1,0,1,0,182,   0.55%,1CS-2.PROPOSITION 52 MEDI-CAL HOSPITAL FEE PROGRAM. INITIATIVE CONSTITUTIONAL AMENDMENT AND STATUTE..NO
000002,1,1,PROP_52,YES,406,661,255,1,~  1CS-2,PROPOSITION 52 MEDI-CAL,YES,406,661,0,0,0,0,182,   0.00%,1CS-2.PROPOSITION 52 MEDI-CAL HOSPITAL FEE PROGRAM. INITIATIVE CONSTITUTIONAL AMENDMENT AND STATUTE..YES
000002,1,1,PROP_53,NO,344,661,317,0,~  1CS-2,PROPOSITION 53 REVENUE ,NO,344,661,0,0,0,0,70,   0.00%,1CS-2.PROPOSITION 53 REVENUE BONDS. STATEWIDE VOTER APPROVAL. INITIATIVE CONSTITUTIONAL AMENDMENT..NO
000002,1,1,PROP_53,YES,274,661,387,0,~  1CS-2,PROPOSITION 53 REVENUE ,YES,274,661,0,0,0,0,70,   0.00%,1CS-2.PROPOSITION 53 REVENUE BONDS. STATEWIDE VOTER APPROVAL. INITIATIVE CONSTITUTIONAL AMENDMENT..YES
000002,1,1,PROP_54,NO,257,661,404,2,~  1CS-2,PROPOSITION 54 LEGISLAT,NO,255,661,2,0,2,0,102,   1.96%,1CS-2.PROPOSITION 54 LEGISLATURE. LEGISLATION AND PROCEEDINGS. INITIATIVE CONSTITUTIONAL AMENDMENT AND.NO
000002,1,1,PROP_54,YES,357,661,304,2,~  1CS-2,PROPOSITION 54 LEGISLAT,YES,357,661,0,0,0,0,102,   0.00%,1CS-2.PROPOSITION 54 LEGISLATURE. LEGISLATION AND PROCEEDINGS. INITIATIVE CONSTITUTIONAL AMENDMENT AND.YES
000002,1,1,PROP_55,NO,276,661,385,3,~  1CS-2,PROPOSITION 55 TAX EXTE,NO,273,661,3,0,3,0,86,   3.49%,1CS-2.PROPOSITION 55 TAX EXTENSION TO FUND EDUCATION AND HEALTHCARE. INITIATIVE CONSTITUTIONAL AMENDMENT..NO
000002,1,1,PROP_55,YES,361,661,300,3,~  1CS-2,PROPOSITION 55 TAX EXTE,YES,359,661,2,0,2,0,86,   2.33%,1CS-2.PROPOSITION 55 TAX EXTENSION TO FUND EDUCATION AND HEALTHCARE. INITIATIVE CONSTITUTIONAL AMENDMENT..YES
000002,1,2,PROP_56,NO,288,644,356,1,~  1CS-2,PROPOSITION 56 CIGARETT,NO,294,661,-6,-17,6,17,51,  11.76%,"1CS-2.PROPOSITION 56 CIGARETTE TAX TO FUND HEALTHCARE, TOBACCO USE PREVENTION, RESEARCH, AND.NO"
000002,1,2,PROP_56,YES,335,644,309,1,~  1CS-2,PROPOSITION 56 CIGARETT,YES,345,661,-10,-17,10,17,51,  19.61%,"1CS-2.PROPOSITION 56 CIGARETTE TAX TO FUND HEALTHCARE, TOBACCO USE PREVENTION, RESEARCH, AND.YES"
000002,1,2,PROP_57,NO,260,644,384,0,~  1CS-2,PROPOSITION 57 CRIMINAL,NO,268,661,-8,-17,8,17,92,   8.70%,1CS-2.PROPOSITION 57 CRIMINAL SENTENCES. PAROLE. JUVENILE CRIMINAL PROCEEDINGS AND SENTENCING. INITIATIVE.NO
000002,1,2,PROP_57,YES,351,644,293,0,~  1CS-2,PROPOSITION 57 CRIMINAL,YES,360,661,-9,-17,9,17,92,   9.78%,1CS-2.PROPOSITION 57 CRIMINAL SENTENCES. PAROLE. JUVENILE CRIMINAL PROCEEDINGS AND SENTENCING. INITIATIVE.YES
000002,1,2,PROP_58,NO,170,644,474,1,~  1CS-2,PROPOSITION 58 ENGLISH ,NO,174,661,-4,-17,4,17,276,   1.45%,1CS-2.PROPOSITION 58 ENGLISH PROFICIENCY. MULTILINGUAL EDUCATION. INITIATIVE STATUTE..NO
000002,1,2,PROP_58,YES,439,644,205,1,~  1CS-2,PROPOSITION 58 ENGLISH ,YES,450,661,-11,-17,11,17,276,   3.99%,1CS-2.PROPOSITION 58 ENGLISH PROFICIENCY. MULTILINGUAL EDUCATION. INITIATIVE STATUTE..YES
000002,1,2,PROP_59,NO,303,644,341,3,~  1CS-2,PROPOSITION 59 CORPORAT,NO,308,661,-5,-17,5,17,20,  25.00%,1CS-2.PROPOSITION 59 CORPORATIONS. POLITICAL SPENDING. FEDERAL CONSTITUTIONAL PROTECTIONS..NO
000002,1,2,PROP_59,YES,278,644,366,3,~  1CS-2,PROPOSITION 59 CORPORAT,YES,288,661,-10,-17,10,17,20,  50.00%,1CS-2.PROPOSITION 59 CORPORATIONS. POLITICAL SPENDING. FEDERAL CONSTITUTIONAL PROTECTIONS..YES
000002,1,2,PROP_60,NO,381,644,263,2,~  1CS-2,PROPOSITION 60 ADULT FI,NO,390,661,-9,-17,9,17,173,   5.20%,1CS-2.PROPOSITION 60 ADULT FILMS. CONDOMS. HEALTH REQUIREMENTS. INITIATIVE STATUTE..NO
000002,1,2,PROP_60,YES,213,644,431,2,~  1CS-2,PROPOSITION 60 ADULT FI,YES,217,661,-4,-17,4,17,173,   2.31%,1CS-2.PROPOSITION 60 ADULT FILMS. CONDOMS. HEALTH REQUIREMENTS. INITIATIVE STATUTE..YES
000002,1,2,PROP_61,NO,320,644,324,1,~  1CS-2,PROPOSITION 61 STATE PR,NO,330,661,-10,-17,10,17,53,  18.87%,1CS-2.PROPOSITION 61 STATE PRESCRIPTION DRUG PURCHASES. PRICING STANDARDS. INITIATIVE STATUTE..NO
000002,1,2,PROP_61,YES,271,644,373,1,~  1CS-2,PROPOSITION 61 STATE PR,YES,277,661,-6,-17,6,17,53,  11.32%,1CS-2.PROPOSITION 61 STATE PRESCRIPTION DRUG PURCHASES. PRICING STANDARDS. INITIATIVE STATUTE..YES
000002,1,2,PROP_62,NO,372,644,272,3,~  1CS-2,PROPOSITION 62 DEATH PE,NO,382,661,-10,-17,10,17,138,   7.25%,1CS-2.PROPOSITION 62 DEATH PENALTY. INITIATIVE STATUTE..NO
000002,1,2,PROP_62,YES,240,644,404,3,~  1CS-2,PROPOSITION 62 DEATH PE,YES,244,661,-4,-17,4,17,138,   2.90%,1CS-2.PROPOSITION 62 DEATH PENALTY. INITIATIVE STATUTE..YES
000002,1,2,PROP_63,NO,327,644,317,0,~  1CS-2,PROPOSITION 63 FIREARMS,NO,334,661,-7,-17,7,17,26,  26.92%,1CS-2.PROPOSITION 63 FIREARMS. AMMUNITION SALES. INITIATIVE STATUTE..NO
000002,1,2,PROP_63,YES,298,644,346,0,~  1CS-2,PROPOSITION 63 FIREARMS,YES,308,661,-10,-17,10,17,26,  38.46%,1CS-2.PROPOSITION 63 FIREARMS. AMMUNITION SALES. INITIATIVE STATUTE..YES
000002,2,3,PROP_64,NO,293,661,368,2,~  1CS-2,PROPOSITION 64 MARIJUAN,NO,293,661,0,0,0,0,55,   0.00%,1CS-2.PROPOSITION 64 MARIJUANA LEGALIZATION. INITIATIVE STATUTE..NO
000002,2,3,PROP_64,YES,350,661,311,2,~  1CS-2,PROPOSITION 64 MARIJUAN,YES,348,661,2,0,2,0,55,   3.64%,1CS-2.PROPOSITION 64 MARIJUANA LEGALIZATION. INITIATIVE STATUTE..YES
000002,2,3,PROP_65,NO,426,661,235,1,~  1CS-2,PROPOSITION 65 CARRYOUT,NO,425,661,1,0,1,0,223,   0.45%,1CS-2.PROPOSITION 65 CARRYOUT BAGS. CHARGES. INITIATIVE STATUTE..NO
