precinct_tevs,contest_tevs,choice_tevs,tevs_counts_counted,tevs_counts_not_counted,tevs_tot_voteops,tevs_tot_overvotes,precinct_harts_mapped,contest_harts_mapped,choice_harts_mapped
000001,PRES,GLORIAYESTELA_LA_RIVA,3,629,632,0,1CS-1,PRESIDENT AND VICE PRESIDENT,GLORIA ESTELA LA RIVA      and DENNIS J. BANKS
000001,PRES,HILLARY_CLINTON,312,320,632,0,1CS-1,PRESIDENT AND VICE PRESIDENT,HILLARY CLINTON      and TIM KAINE
000001,PRES,JILL_STEIN,30,602,632,0,1CS-1,PRESIDENT AND VICE PRESIDENT,JILL STEIN      and AJAMU BARAKA
000001,PRES,Write-in,27,605,632,0,1CS-1,PRESIDENT AND VICE PRESIDENT,Write-in
000001,PROP_51,NO,310,308,618,0,1CS-1,PROPOSITION 51 SCHOOL BONDS. FUNDING FOR K-12 SCHOOL AND COMMUNITY COLLEGE FACILITIES. INITIATIVE,NO
000001,PROP_51,YES,272,346,618,0,1CS-1,PROPOSITION 51 SCHOOL BONDS. FUNDING FOR K-12 SCHOOL AND COMMUNITY COLLEGE FACILITIES. INITIATIVE,YES
000001,PROP_52,NO,210,422,632,0,1CS-1,PROPOSITION 52 MEDI-CAL HOSPITAL FEE PROGRAM. INITIATIVE CONSTITUTIONAL AMENDMENT AND STATUTE.,NO
000001,PROP_52,YES,380,252,632,0,1CS-1,PROPOSITION 52 MEDI-CAL HOSPITAL FEE PROGRAM. INITIATIVE CONSTITUTIONAL AMENDMENT AND STATUTE.,YES
000001,PROP_53,NO,316,316,632,0,1CS-1,PROPOSITION 53 REVENUE BONDS. STATEWIDE VOTER APPROVAL. INITIATIVE CONSTITUTIONAL AMENDMENT.,NO
000001,PROP_53,YES,264,368,632,0,1CS-1,PROPOSITION 53 REVENUE BONDS. STATEWIDE VOTER APPROVAL. INITIATIVE CONSTITUTIONAL AMENDMENT.,YES
000001,PROP_54,NO,255,377,632,0,1CS-1,PROPOSITION 54 LEGISLATURE. LEGISLATION AND PROCEEDINGS. INITIATIVE CONSTITUTIONAL AMENDMENT AND,NO
000001,PROP_54,YES,319,313,632,0,1CS-1,PROPOSITION 54 LEGISLATURE. LEGISLATION AND PROCEEDINGS. INITIATIVE CONSTITUTIONAL AMENDMENT AND,YES
000001,PROP_55,NO,210,422,632,0,1CS-1,PROPOSITION 55 TAX EXTENSION TO FUND EDUCATION AND HEALTHCARE. INITIATIVE CONSTITUTIONAL AMENDMENT.,NO
000001,PROP_55,YES,383,250,633,0,1CS-1,PROPOSITION 55 TAX EXTENSION TO FUND EDUCATION AND HEALTHCARE. INITIATIVE CONSTITUTIONAL AMENDMENT.,YES
000001,PROP_56,NO,250,383,633,0,1CS-1,"PROPOSITION 56 CIGARETTE TAX TO FUND HEALTHCARE, TOBACCO USE PREVENTION, RESEARCH, AND",NO
000001,PROP_56,YES,356,277,633,0,1CS-1,"PROPOSITION 56 CIGARETTE TAX TO FUND HEALTHCARE, TOBACCO USE PREVENTION, RESEARCH, AND",YES
000001,PROP_57,NO,207,425,632,0,1CS-1,PROPOSITION 57 CRIMINAL SENTENCES. PAROLE. JUVENILE CRIMINAL PROCEEDINGS AND SENTENCING. INITIATIVE,NO
000001,PROP_57,YES,384,249,633,0,1CS-1,PROPOSITION 57 CRIMINAL SENTENCES. PAROLE. JUVENILE CRIMINAL PROCEEDINGS AND SENTENCING. INITIATIVE,YES
000001,PROP_58,NO,141,492,633,0,1CS-1,PROPOSITION 58 ENGLISH PROFICIENCY. MULTILINGUAL EDUCATION. INITIATIVE STATUTE.,NO
000001,PROP_58,YES,445,187,632,0,1CS-1,PROPOSITION 58 ENGLISH PROFICIENCY. MULTILINGUAL EDUCATION. INITIATIVE STATUTE.,YES
000001,PROP_59,NO,243,389,632,0,1CS-1,PROPOSITION 59 CORPORATIONS. POLITICAL SPENDING. FEDERAL CONSTITUTIONAL PROTECTIONS.,NO
000001,PROP_59,YES,310,322,632,0,1CS-1,PROPOSITION 59 CORPORATIONS. POLITICAL SPENDING. FEDERAL CONSTITUTIONAL PROTECTIONS.,YES
000001,PROP_60,NO,365,268,633,0,1CS-1,PROPOSITION 60 ADULT FILMS. CONDOMS. HEALTH REQUIREMENTS. INITIATIVE STATUTE.,NO
000001,PROP_60,YES,211,422,633,0,1CS-1,PROPOSITION 60 ADULT FILMS. CONDOMS. HEALTH REQUIREMENTS. INITIATIVE STATUTE.,YES
000001,PROP_61,NO,273,360,633,1,1CS-1,PROPOSITION 61 STATE PRESCRIPTION DRUG PURCHASES. PRICING STANDARDS. INITIATIVE STATUTE.,NO
000001,PROP_61,YES,293,340,633,1,1CS-1,PROPOSITION 61 STATE PRESCRIPTION DRUG PURCHASES. PRICING STANDARDS. INITIATIVE STATUTE.,YES
000001,PROP_62,NO,326,307,633,1,1CS-1,PROPOSITION 62 DEATH PENALTY. INITIATIVE STATUTE.,NO
000001,PROP_62,YES,263,370,633,0,1CS-1,PROPOSITION 62 DEATH PENALTY. INITIATIVE STATUTE.,YES
000001,PROP_63,NO,281,351,632,0,1CS-1,PROPOSITION 63 FIREARMS. AMMUNITION SALES. INITIATIVE STATUTE.,NO
000001,PROP_63,YES,318,314,632,1,1CS-1,PROPOSITION 63 FIREARMS. AMMUNITION SALES. INITIATIVE STATUTE.,YES
000001,PROP_64,NO,255,377,632,1,1CS-1,PROPOSITION 64 MARIJUANA LEGALIZATION. INITIATIVE STATUTE.,NO
000001,PROP_64,YES,355,277,632,0,1CS-1,PROPOSITION 64 MARIJUANA LEGALIZATION. INITIATIVE STATUTE.,YES
000001,PROP_65,NO,359,273,632,0,1CS-1,PROPOSITION 65 CARRYOUT BAGS. CHARGES. INITIATIVE STATUTE.,NO
000001,PROP_65,YES,235,397,632,1,1CS-1,PROPOSITION 65 CARRYOUT BAGS. CHARGES. INITIATIVE STATUTE.,YES
000001,PROP_66,NO,317,315,632,0,1CS-1,PROPOSITION 66 DEATH PENALTY. PROCEDURES. INITIATIVE STATUTE.,NO
000001,PROP_66,YES,259,373,632,0,1CS-1,PROPOSITION 66 DEATH PENALTY. PROCEDURES. INITIATIVE STATUTE.,YES
000001,PROP_67,NO,256,376,632,0,1CS-1,PROPOSITION 67 BAN ON SINGLE-USE PLASTIC BAGS. REFERENDUM.,NO
000001,PROP_67,YES,346,286,632,0,1CS-1,PROPOSITION 67 BAN ON SINGLE-USE PLASTIC BAGS. REFERENDUM.,YES
000001,STATEASS2,JIM_WOOD,354,278,632,0,1CS-1,"STATE ASSEMBLY, DISTRICT 2",JIM WOOD
000001,STATEASS2,KEN_ANTON,182,450,632,0,1CS-1,"STATE ASSEMBLY, DISTRICT 2",KEN ANTON
000001,USREP,DALE_K_MENSING,185,447,632,0,1CS-1,"US REPRESENTATIVE IN CONGRESS, DISTRICT 2",DALE K. MENSING
000001,USREP,JARED_W_HUFFMAN,404,228,632,0,1CS-1,"US REPRESENTATIVE IN CONGRESS, DISTRICT 2",JARED W. HUFFMAN
000001,USSEN,KAMALA_D_HARRIS,326,306,632,0,1CS-1,US SENATOR,KAMALA D. HARRIS
000001,USSEN,LORETTA_L_SANCHEZ,163,469,632,0,1CS-1,US SENATOR,LORETTA L. SANCHEZ
000001,VI_PROPOSI,NO,1,0,1,0,1CS-1,,NO
000001,VI_PROPOSI,YES,0,1,1,0,1CS-1,,YES
000001,_PROP_51E_,NO,4,10,14,0,1CS-1,,NO
000001,_PROP_51E_,YES,9,5,14,0,1CS-1,,YES
000002,MEAS_Q,NO,320,341,661,0,1CS-2,MEASURE Q HUMBOLDT COUNTY CREATION OF FINANCE DEPARTMENT MEASURE.,NO
000002,MEAS_Q,YES,258,403,661,0,1CS-2,MEASURE Q HUMBOLDT COUNTY CREATION OF FINANCE DEPARTMENT MEASURE.,YES
000002,MEAS_R,NO,330,331,661,0,1CS-2,MEASURE R HUMBOLDT COUNTY FINANCE DEPARTMENT ELECTIVE OFFICE MEASURE.,NO
000002,MEAS_R,YES,251,410,661,0,1CS-2,MEASURE R HUMBOLDT COUNTY FINANCE DEPARTMENT ELECTIVE OFFICE MEASURE.,YES
000002,MEAS_S,NO,175,486,661,0,1CS-2,MEASURE S HUMBOLDT COUNTY COMMERCIAL MARIJUANA CULTIVATION MEASURE.,NO
000002,MEAS_S,YES,442,219,661,0,1CS-2,MEASURE S HUMBOLDT COUNTY COMMERCIAL MARIJUANA CULTIVATION MEASURE.,YES
000002,MEAS_U,NO,346,315,661,0,1CS-2,MEASURE U LOCAL TRANSPORTATION AUTHORITY RETAIL TRANSACTIONS AND USE TAX.,NO
000002,MEAS_U,YES,258,403,661,0,1CS-2,MEASURE U LOCAL TRANSPORTATION AUTHORITY RETAIL TRANSACTIONS AND USE TAX.,YES
000002,MEAS_V,NO,312,349,661,0,1CS-2,MEASURE V MOBILE HOME PARK SPACE RENT STABILIZATION.,NO
000002,MEAS_V,YES,300,361,661,0,1CS-2,MEASURE V MOBILE HOME PARK SPACE RENT STABILIZATION.,YES
000002,NO TITLE,Incorrect,661,0,661,0,1CS-2,,
000002,PRES,DONALD_J_TRUMP,265,396,661,0,1CS-2,PRESIDENT AND VICE PRESIDENT,DONALD J. TRUMP      and MICHAEL R. PENCE
000002,PRES,GARY_JOHNSON,23,638,661,0,1CS-2,PRESIDENT AND VICE PRESIDENT,GARY JOHNSON      and BILL WELD
000002,PRES,GLORIAYESTELA_LA_RIVA,4,657,661,0,1CS-2,PRESIDENT AND VICE PRESIDENT,GLORIA ESTELA LA RIVA      and DENNIS J. BANKS
000002,PRES,HILLARY_CLINTON,318,343,661,0,1CS-2,PRESIDENT AND VICE PRESIDENT,HILLARY CLINTON      and TIM KAINE
000002,PRES,JILL_STEIN,15,646,661,0,1CS-2,PRESIDENT AND VICE PRESIDENT,JILL STEIN      and AJAMU BARAKA
000002,PRES,Write-in,22,639,661,0,1CS-2,PRESIDENT AND VICE PRESIDENT,Write-in
000002,PROP_51,NO,360,301,661,0,1CS-2,PROPOSITION 51 SCHOOL BONDS. FUNDING FOR K-12 SCHOOL AND COMMUNITY COLLEGE FACILITIES. INITIATIVE,NO
000002,PROP_51,YES,279,382,661,0,1CS-2,PROPOSITION 51 SCHOOL BONDS. FUNDING FOR K-12 SCHOOL AND COMMUNITY COLLEGE FACILITIES. INITIATIVE,YES
000002,PROP_52,YES,406,255,661,0,1CS-2,PROPOSITION 52 MEDI-CAL HOSPITAL FEE PROGRAM. INITIATIVE CONSTITUTIONAL AMENDMENT AND STATUTE.,YES
000002,PROP_52,_lO,225,436,661,0,1CS-2,PROPOSITION 52 MEDI-CAL HOSPITAL FEE PROGRAM. INITIATIVE CONSTITUTIONAL AMENDMENT AND STATUTE.,
000002,PROP_53,NO,344,317,661,0,1CS-2,PROPOSITION 53 REVENUE BONDS. STATEWIDE VOTER APPROVAL. INITIATIVE CONSTITUTIONAL AMENDMENT.,NO
000002,PROP_53,YES,274,387,661,0,1CS-2,PROPOSITION 53 REVENUE BONDS. STATEWIDE VOTER APPROVAL. INITIATIVE CONSTITUTIONAL AMENDMENT.,YES
000002,PROP_54,NO,257,404,661,0,1CS-2,PROPOSITION 54 LEGISLATURE. LEGISLATION AND PROCEEDINGS. INITIATIVE CONSTITUTIONAL AMENDMENT AND,NO
000002,PROP_54,YES,357,304,661,0,1CS-2,PROPOSITION 54 LEGISLATURE. LEGISLATION AND PROCEEDINGS. INITIATIVE CONSTITUTIONAL AMENDMENT AND,YES
000002,PROP_55,NO,276,385,661,0,1CS-2,PROPOSITION 55 TAX EXTENSION TO FUND EDUCATION AND HEALTHCARE. INITIATIVE CONSTITUTIONAL AMENDMENT.,NO
000002,PROP_55,YES,359,302,661,1,1CS-2,PROPOSITION 55 TAX EXTENSION TO FUND EDUCATION AND HEALTHCARE. INITIATIVE CONSTITUTIONAL AMENDMENT.,YES
000002,PROP_56,NO,288,356,644,1,1CS-2,"PROPOSITION 56 CIGARETTE TAX TO FUND HEALTHCARE, TOBACCO USE PREVENTION, RESEARCH, AND",NO
000002,PROP_56,YES,336,308,644,0,1CS-2,"PROPOSITION 56 CIGARETTE TAX TO FUND HEALTHCARE, TOBACCO USE PREVENTION, RESEARCH, AND",YES
000002,PROP_57,NO,261,383,644,0,1CS-2,PROPOSITION 57 CRIMINAL SENTENCES. PAROLE. JUVENILE CRIMINAL PROCEEDINGS AND SENTENCING. INITIATIVE,NO
000002,PROP_57,YES,351,293,644,0,1CS-2,PROPOSITION 57 CRIMINAL SENTENCES. PAROLE. JUVENILE CRIMINAL PROCEEDINGS AND SENTENCING. INITIATIVE,YES
000002,PROP_58,NO,169,475,644,1,1CS-2,PROPOSITION 58 ENGLISH PROFICIENCY. MULTILINGUAL EDUCATION. INITIATIVE STATUTE.,NO
000002,PROP_58,YES,439,205,644,0,1CS-2,PROPOSITION 58 ENGLISH PROFICIENCY. MULTILINGUAL EDUCATION. INITIATIVE STATUTE.,YES
000002,PROP_59,NO,302,342,644,0,1CS-2,PROPOSITION 59 CORPORATIONS. POLITICAL SPENDING. FEDERAL CONSTITUTIONAL PROTECTIONS.,NO
000002,PROP_59,YES,278,366,644,0,1CS-2,PROPOSITION 59 CORPORATIONS. POLITICAL SPENDING. FEDERAL CONSTITUTIONAL PROTECTIONS.,YES
000002,PROP_60,NO,380,264,644,0,1CS-2,PROPOSITION 60 ADULT FILMS. CONDOMS. HEALTH REQUIREMENTS. INITIATIVE STATUTE.,NO
000002,PROP_60,YES,211,433,644,1,1CS-2,PROPOSITION 60 ADULT FILMS. CONDOMS. HEALTH REQUIREMENTS. INITIATIVE STATUTE.,YES
000002,PROP_61,NO,320,324,644,0,1CS-2,PROPOSITION 61 STATE PRESCRIPTION DRUG PURCHASES. PRICING STANDARDS. INITIATIVE STATUTE.,NO
000002,PROP_61,YES,271,373,644,0,1CS-2,PROPOSITION 61 STATE PRESCRIPTION DRUG PURCHASES. PRICING STANDARDS. INITIATIVE STATUTE.,YES
000002,PROP_62,NO,371,273,644,0,1CS-2,PROPOSITION 62 DEATH PENALTY. INITIATIVE STATUTE.,NO
000002,PROP_62,YES,240,404,644,0,1CS-2,PROPOSITION 62 DEATH PENALTY. INITIATIVE STATUTE.,YES
000002,PROP_63,NO,327,317,644,0,1CS-2,PROPOSITION 63 FIREARMS. AMMUNITION SALES. INITIATIVE STATUTE.,NO
000002,PROP_63,YES,298,346,644,0,1CS-2,PROPOSITION 63 FIREARMS. AMMUNITION SALES. INITIATIVE STATUTE.,YES
000002,PROP_64,NO,293,368,661,1,1CS-2,PROPOSITION 64 MARIJUANA LEGALIZATION. INITIATIVE STATUTE.,NO
000002,PROP_64,YES,350,311,661,0,1CS-2,PROPOSITION 64 MARIJUANA LEGALIZATION. INITIATIVE STATUTE.,YES
000002,PROP_65,NO,426,235,661,0,1CS-2,PROPOSITION 65 CARRYOUT BAGS. CHARGES. INITIATIVE STATUTE.,NO
000002,PROP_66,NO,337,324,661,0,1CS-2,PROPOSITION 66 DEATH PENALTY. PROCEDURES. INITIATIVE STATUTE.,NO
000002,PROP_66,YES,256,405,661,0,1CS-2,PROPOSITION 66 DEATH PENALTY. PROCEDURES. INITIATIVE STATUTE.,YES
000002,PROP_67,NO,304,357,661,0,1CS-2,PROPOSITION 67 BAN ON SINGLE-USE PLASTIC BAGS. REFERENDUM.,NO
000002,PROP_67,YES,328,333,661,0,1CS-2,PROPOSITION 67 BAN ON SINGLE-USE PLASTIC BAGS. REFERENDUM.,YES
000002,STATEASS2,JIM_WOOD,380,281,661,0,1CS-2,"STATE ASSEMBLY, DISTRICT 2",JIM WOOD
000002,STATEASS2,KEN_ANTON,189,472,661,0,1CS-2,"STATE ASSEMBLY, DISTRICT 2",KEN ANTON
000002,USREP,DALE_K_MENSING,216,445,661,0,1CS-2,"US REPRESENTATIVE IN CONGRESS, DISTRICT 2",DALE K. MENSING
000002,USREP,JARED_W_HUFFMAN,403,258,661,0,1CS-2,"US REPRESENTATIVE IN CONGRESS, DISTRICT 2",JARED W. HUFFMAN
000002,USSEN,KAMALA_D_HARRIS,348,313,661,0,1CS-2,US SENATOR,KAMALA D. HARRIS
000002,USSEN,LORETTA_L_SANCHEZ,170,491,661,0,1CS-2,US SENATOR,LORETTA L. SANCHEZ
000003,MEAS_Q,NO,303,348,651,0,1CS-3,MEASURE Q HUMBOLDT COUNTY CREATION OF FINANCE DEPARTMENT MEASURE.,NO
000003,MEAS_Q,YES,265,386,651,1,1CS-3,MEASURE Q HUMBOLDT COUNTY CREATION OF FINANCE DEPARTMENT MEASURE.,YES
000003,MEAS_R,YES,248,403,651,0,1CS-3,MEASURE R HUMBOLDT COUNTY FINANCE DEPARTMENT ELECTIVE OFFICE MEASURE.,YES
000003,MEAS_R,_lO,318,333,651,0,1CS-3,MEASURE R HUMBOLDT COUNTY FINANCE DEPARTMENT ELECTIVE OFFICE MEASURE.,
000003,MEAS_S,NO,180,471,651,1,1CS-3,MEASURE S HUMBOLDT COUNTY COMMERCIAL MARIJUANA CULTIVATION MEASURE.,NO
000003,MEAS_S,YES,430,221,651,0,1CS-3,MEASURE S HUMBOLDT COUNTY COMMERCIAL MARIJUANA CULTIVATION MEASURE.,YES
000003,MEAS_U,NO,335,316,651,0,1CS-3,MEASURE U LOCAL TRANSPORTATION AUTHORITY RETAIL TRANSACTIONS AND USE TAX.,NO
000003,MEAS_U,YES,262,389,651,0,1CS-3,MEASURE U LOCAL TRANSPORTATION AUTHORITY RETAIL TRANSACTIONS AND USE TAX.,YES
000003,MEAS_V,NO,346,305,651,0,1CS-3,MEASURE V MOBILE HOME PARK SPACE RENT STABILIZATION.,NO
000003,MEAS_V,YES,249,402,651,0,1CS-3,MEASURE V MOBILE HOME PARK SPACE RENT STABILIZATION.,YES
000003,NO TITLE,Incorrect,650,0,650,0,1CS-3,,
000003,PRES,DONALD_J_TRUMP,288,362,650,0,1CS-3,PRESIDENT AND VICE PRESIDENT,DONALD J. TRUMP      and MICHAEL R. PENCE
000003,PRES,GARY_JOHNSON,18,632,650,0,1CS-3,PRESIDENT AND VICE PRESIDENT,GARY JOHNSON      and BILL WELD
000003,PRES,GLORIAYESTELA_LA_RIVA,2,648,650,0,1CS-3,PRESIDENT AND VICE PRESIDENT,GLORIA ESTELA LA RIVA      and DENNIS J. BANKS
000003,PRES,HILLARY_CLINTON,285,365,650,0,1CS-3,PRESIDENT AND VICE PRESIDENT,HILLARY CLINTON      and TIM KAINE
000003,PRES,JILL_STEIN,17,633,650,0,1CS-3,PRESIDENT AND VICE PRESIDENT,JILL STEIN      and AJAMU BARAKA
000003,PRES,Write-in,26,624,650,0,1CS-3,PRESIDENT AND VICE PRESIDENT,Write-in
000003,PROP_51,NO,344,306,650,0,1CS-3,PROPOSITION 51 SCHOOL BONDS. FUNDING FOR K-12 SCHOOL AND COMMUNITY COLLEGE FACILITIES. INITIATIVE,NO
000003,PROP_51,YES,281,369,650,0,1CS-3,PROPOSITION 51 SCHOOL BONDS. FUNDING FOR K-12 SCHOOL AND COMMUNITY COLLEGE FACILITIES. INITIATIVE,YES
000003,PROP_52,NO,250,400,650,0,1CS-3,PROPOSITION 52 MEDI-CAL HOSPITAL FEE PROGRAM. INITIATIVE CONSTITUTIONAL AMENDMENT AND STATUTE.,NO
000003,PROP_52,YES,363,287,650,0,1CS-3,PROPOSITION 52 MEDI-CAL HOSPITAL FEE PROGRAM. INITIATIVE CONSTITUTIONAL AMENDMENT AND STATUTE.,YES
000003,PROP_53,NO,307,343,650,0,1CS-3,PROPOSITION 53 REVENUE BONDS. STATEWIDE VOTER APPROVAL. INITIATIVE CONSTITUTIONAL AMENDMENT.,NO
000003,PROP_53,YES,297,353,650,0,1CS-3,PROPOSITION 53 REVENUE BONDS. STATEWIDE VOTER APPROVAL. INITIATIVE CONSTITUTIONAL AMENDMENT.,YES
000003,PROP_54,NO,244,406,650,0,1CS-3,PROPOSITION 54 LEGISLATURE. LEGISLATION AND PROCEEDINGS. INITIATIVE CONSTITUTIONAL AMENDMENT AND,NO
000003,PROP_54,YES,359,291,650,0,1CS-3,PROPOSITION 54 LEGISLATURE. LEGISLATION AND PROCEEDINGS. INITIATIVE CONSTITUTIONAL AMENDMENT AND,YES
000003,PROP_55,NO,264,386,650,0,1CS-3,PROPOSITION 55 TAX EXTENSION TO FUND EDUCATION AND HEALTHCARE. INITIATIVE CONSTITUTIONAL AMENDMENT.,NO
000003,PROP_55,YES,353,297,650,0,1CS-3,PROPOSITION 55 TAX EXTENSION TO FUND EDUCATION AND HEALTHCARE. INITIATIVE CONSTITUTIONAL AMENDMENT.,YES
000003,PROP_56,NO,260,390,650,0,1CS-3,"PROPOSITION 56 CIGARETTE TAX TO FUND HEALTHCARE, TOBACCO USE PREVENTION, RESEARCH, AND",NO
000003,PROP_56,YES,365,285,650,0,1CS-3,"PROPOSITION 56 CIGARETTE TAX TO FUND HEALTHCARE, TOBACCO USE PREVENTION, RESEARCH, AND",YES
000003,PROP_57,NO,294,356,650,0,1CS-3,PROPOSITION 57 CRIMINAL SENTENCES. PAROLE. JUVENILE CRIMINAL PROCEEDINGS AND SENTENCING. INITIATIVE,NO
000003,PROP_57,YES,318,332,650,0,1CS-3,PROPOSITION 57 CRIMINAL SENTENCES. PAROLE. JUVENILE CRIMINAL PROCEEDINGS AND SENTENCING. INITIATIVE,YES
000003,PROP_58,NO,174,476,650,0,1CS-3,PROPOSITION 58 ENGLISH PROFICIENCY. MULTILINGUAL EDUCATION. INITIATIVE STATUTE.,NO
000003,PROP_58,YES,443,207,650,0,1CS-3,PROPOSITION 58 ENGLISH PROFICIENCY. MULTILINGUAL EDUCATION. INITIATIVE STATUTE.,YES
000003,PROP_59,NO,302,348,650,0,1CS-3,PROPOSITION 59 CORPORATIONS. POLITICAL SPENDING. FEDERAL CONSTITUTIONAL PROTECTIONS.,NO
000003,PROP_59,YES,280,370,650,0,1CS-3,PROPOSITION 59 CORPORATIONS. POLITICAL SPENDING. FEDERAL CONSTITUTIONAL PROTECTIONS.,YES
000003,PROP_60,NO,362,288,650,0,1CS-3,PROPOSITION 60 ADULT FILMS. CONDOMS. HEALTH REQUIREMENTS. INITIATIVE STATUTE.,NO
000003,PROP_60,YES,224,426,650,0,1CS-3,PROPOSITION 60 ADULT FILMS. CONDOMS. HEALTH REQUIREMENTS. INITIATIVE STATUTE.,YES
000003,PROP_61,NO,313,337,650,0,1CS-3,PROPOSITION 61 STATE PRESCRIPTION DRUG PURCHASES. PRICING STANDARDS. INITIATIVE STATUTE.,NO
000003,PROP_61,YES,281,369,650,0,1CS-3,PROPOSITION 61 STATE PRESCRIPTION DRUG PURCHASES. PRICING STANDARDS. INITIATIVE STATUTE.,YES
000003,PROP_62,NO,354,296,650,0,1CS-3,PROPOSITION 62 DEATH PENALTY. INITIATIVE STATUTE.,NO
000003,PROP_62,YES,255,395,650,0,1CS-3,PROPOSITION 62 DEATH PENALTY. INITIATIVE STATUTE.,YES
000003,PROP_63,NO,329,321,650,0,1CS-3,PROPOSITION 63 FIREARMS. AMMUNITION SALES. INITIATIVE STATUTE.,NO
000003,PROP_63,YES,289,361,650,0,1CS-3,PROPOSITION 63 FIREARMS. AMMUNITION SALES. INITIATIVE STATUTE.,YES
000003,PROP_64,NO,304,347,651,0,1CS-3,PROPOSITION 64 MARIJUANA LEGALIZATION. INITIATIVE STATUTE.,NO
000003,PROP_64,YES,330,321,651,0,1CS-3,PROPOSITION 64 MARIJUANA LEGALIZATION. INITIATIVE STATUTE.,YES
000003,PROP_65,NO,403,248,651,0,1CS-3,PROPOSITION 65 CARRYOUT BAGS. CHARGES. INITIATIVE STATUTE.,NO
000003,PROP_65,YES,213,438,651,0,1CS-3,PROPOSITION 65 CARRYOUT BAGS. CHARGES. INITIATIVE STATUTE.,YES
000003,PROP_66,NO,318,333,651,0,1CS-3,PROPOSITION 66 DEATH PENALTY. PROCEDURES. INITIATIVE STATUTE.,NO
000003,PROP_66,YES,260,391,651,0,1CS-3,PROPOSITION 66 DEATH PENALTY. PROCEDURES. INITIATIVE STATUTE.,YES
000003,PROP_67,NO,314,337,651,0,1CS-3,PROPOSITION 67 BAN ON SINGLE-USE PLASTIC BAGS. REFERENDUM.,NO
000003,PROP_67,YES,308,343,651,0,1CS-3,PROPOSITION 67 BAN ON SINGLE-USE PLASTIC BAGS. REFERENDUM.,YES
000003,STATEASS2,JIM_WOOD,356,294,650,0,1CS-3,"STATE ASSEMBLY, DISTRICT 2",JIM WOOD
000003,STATEASS2,KEN_ANTON,199,451,650,0,1CS-3,"STATE ASSEMBLY, DISTRICT 2",KEN ANTON
000003,USREP,DALE_K_MENSING,225,425,650,0,1CS-3,"US REPRESENTATIVE IN CONGRESS, DISTRICT 2",DALE K. MENSING
000003,USREP,JARED_W_HUFFMAN,376,274,650,0,1CS-3,"US REPRESENTATIVE IN CONGRESS, DISTRICT 2",JARED W. HUFFMAN
000003,USSEN,KAMALA_D_HARRIS,330,320,650,0,1CS-3,US SENATOR,KAMALA D. HARRIS
000003,USSEN,LORETTA_L_SANCHEZ,172,478,650,0,1CS-3,US SENATOR,LORETTA L. SANCHEZ
000004,MEAS_Q,NO,316,319,635,0,1E-36,MEASURE Q HUMBOLDT COUNTY CREATION OF FINANCE DEPARTMENT MEASURE.,NO
000004,MEAS_Q,NO,316,319,635,0,1CS-4,MEASURE Q HUMBOLDT COUNTY CREATION OF FINANCE DEPARTMENT MEASURE.,NO
000004,MEAS_Q,YES,252,383,635,0,1E-36,MEASURE Q HUMBOLDT COUNTY CREATION OF FINANCE DEPARTMENT MEASURE.,YES
000004,MEAS_Q,YES,252,383,635,0,1CS-4,MEASURE Q HUMBOLDT COUNTY CREATION OF FINANCE DEPARTMENT MEASURE.,YES
